s_id,link_id,start_lon,start_lat,end_lon,end_lat
3250010503_0000,3250010503,127.583861,34.774059,127.583614,34.774461
3250010503_0001,3250010503,127.583614,34.774461,127.583389,34.774871
3250010503_0002,3250010503,127.583389,34.774871,127.583188,34.77529
3250010503_0003,3250010503,127.583188,34.77529,127.583001,34.775713
3250010503_0004,3250010503,127.583001,34.775713,127.582824,34.77614
3250010503_0005,3250010503,127.582824,34.77614,127.582656,34.776568
3250010503_0006,3250010503,127.582656,34.776568,127.582558,34.777011
3250010503_0007,3250010503,127.582558,34.777011,127.582547,34.777174
3280010018_0000,3280010018,127.588622,34.949727,127.588474,34.950161
3280010018_0001,3280010018,127.588474,34.950161,127.588461,34.950199
3280201603_0000,3280201603,127.692875,35.050006,127.692469,35.049704
3280201603_0001,3280201603,127.692469,35.049704,127.692081,35.049387
3280201603_0002,3280201603,127.692081,35.049387,127.691988,35.049296
3260002908_0000,3260002908,127.531199,34.911201,127.531359,34.9114
3250871701_0000,3250871701,127.622972,34.735693,127.622449,34.73582
3250871701_0001,3250871701,127.622449,34.73582,127.62213,34.735897
3250005714_0000,3250005714,127.560974,34.664742,127.56137,34.664462
3250005714_0001,3250005714,127.56137,34.664462,127.56088,34.664349
3250005714_0002,3250005714,127.56088,34.664349,127.560635,34.663947
3250005714_0003,3250005714,127.560635,34.663947,127.560402,34.663614
3250005714_0004,3250005714,127.560402,34.663614,127.559861,34.663597
3250005714_0005,3250005714,127.559861,34.663597,127.559773,34.66322
3250005714_0006,3250005714,127.559773,34.66322,127.560202,34.662959
3250005714_0007,3250005714,127.560202,34.662959,127.560374,34.662775
3250005714_0008,3250005714,127.560374,34.662775,127.559873,34.662603
3250005714_0009,3250005714,127.559873,34.662603,127.559767,34.662552
3260235003_0000,3260235003,127.557005,34.927024,127.557127,34.926984
3250005716_0000,3250005716,127.587303,34.719815,127.587089,34.719831
3250005741_0000,3250005741,127.609508,34.741243,127.60993,34.740999
3250005741_0001,3250005741,127.60993,34.740999,127.610475,34.740969
3250005741_0002,3250005741,127.610475,34.740969,127.610564,34.740964
3250002813_0000,3250002813,127.583227,34.704871,127.582881,34.70455
3250002813_0001,3250002813,127.582881,34.70455,127.582543,34.704208
3250002813_0002,3250002813,127.582543,34.704208,127.582088,34.703961
3250002813_0003,3250002813,127.582088,34.703961,127.581589,34.70378
3250002813_0004,3250002813,127.581589,34.70378,127.581429,34.703722
3250005715_0000,3250005715,127.6087,34.742705,127.609061,34.742378
3250005715_0001,3250005715,127.609061,34.742378,127.609291,34.741969
3250005715_0002,3250005715,127.609291,34.741969,127.609461,34.741543
3250005715_0003,3250005715,127.609461,34.741543,127.609508,34.741243
3280010135_0000,3280010135,127.589933,34.946582,127.589899,34.946133
3280010135_0001,3280010135,127.589899,34.946133,127.589898,34.946115
3250008421_0000,3250008421,127.605454,34.768241,127.605477,34.767791
3250008421_0001,3250008421,127.605477,34.767791,127.605458,34.767341
3250008421_0002,3250008421,127.605458,34.767341,127.605429,34.766891
3250008421_0003,3250008421,127.605429,34.766891,127.605397,34.766441
3250008421_0004,3250008421,127.605397,34.766441,127.605365,34.765991
3250008421_0005,3250008421,127.605365,34.765991,127.605344,34.765756
3250002730_0000,3250002730,127.589554,34.707906,127.590095,34.707968
3250002730_0001,3250002730,127.590095,34.707968,127.590637,34.708021
3250002730_0002,3250002730,127.590637,34.708021,127.591178,34.708077
3250002730_0003,3250002730,127.591178,34.708077,127.591707,34.708185
3250002730_0004,3250002730,127.591707,34.708185,127.59223,34.708315
3250002730_0005,3250002730,127.59223,34.708315,127.592771,34.708354
3250002730_0006,3250002730,127.592771,34.708354,127.59323,34.708378
3280202308_0000,3280202308,127.705894,35.05222,127.705359,35.052316
3280202308_0001,3280202308,127.705359,35.052316,127.704824,35.05241
3280202308_0002,3280202308,127.704824,35.05241,127.704305,35.052549
3280202308_0003,3280202308,127.704305,35.052549,127.703765,35.052584
3280202308_0004,3280202308,127.703765,35.052584,127.703382,35.052294
3280202308_0005,3280202308,127.703382,35.052294,127.703324,35.051977
3260002925_0000,3260002925,127.528062,34.884875,127.528222,34.885306
3260002925_0001,3260002925,127.528222,34.885306,127.528361,34.885742
3260002925_0002,3260002925,127.528361,34.885742,127.528496,34.886179
3260002925_0003,3260002925,127.528496,34.886179,127.528629,34.886616
3260002925_0004,3260002925,127.528629,34.886616,127.528778,34.88705
3260002925_0005,3260002925,127.528778,34.88705,127.528934,34.887481
